Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
SNORD54	8.30005	6.40244	7.13607	4.08763	5.04536	5.13011	5.53522	5.17023	6.77135	4.85687	4.85328	4.61055	5.4311
SNORD55	8.88779	8.28241	9.21518	4.99059	5.81956	6.95791	6.78899	6.2974	7.48919	6.21779	5.2285	6.33642	5.21378
SNORD56B	3.23489	3.42883	4.01864	4.52859	4.56867	2.90649	5.01399	4.17869	3.96899	4.41122	4.04154	4.62305	3.11954
SNORD57	9.10486	9.23449	10.3154	9.94781	10.9949	10.8596	11.9477	11.3985	12.2612	11.4555	9.74072	11.3027	10.8366
SNORD58A	10.2483	9.59248	9.57143	4.17197	5.12003	4.8437	6.70672	6.72407	6.57509	5.58489	4.25327	5.29327	5.85065
SNORD58B|RPL17	4.49753	3.64925	4.20964	2.70216	3.25025	2.41169	2.92289	2.69516	2.53602	2.82115	3.05896	2.90899	3.24697
SNORD59A	6.55624	4.67124	5.94443	2.86176	3.07847	3.43775	3.85763	4.20927	3.49998	4.45484	2.98805	3.07849	3.63354
SNORD59B	8.59722	7.13213	8.33329	5.65979	5.4422	6.37902	6.08652	7.1268	7.00822	6.15253	5.33799	5.73316	6.24622
SNORD6	6.21504	5.95447	6.32338	6.09222	9.29056	8.21105	7.35168	7.94281	9.68717	6.5326	8.07457	6.79044	6.96736
SNORD60	9.81083	8.00501	9.19365	3.66035	5.54082	5.79489	7.25027	5.30582	7.69316	6.06512	4.52816	5.52382	4.70231
SNORD61	11.6718	11.2581	11.4491	4.23107	4.99899	5.56769	6.98635	5.00835	7.10135	5.78696	4.55715	5.61198	5.35867
SNORD62B|SNORD62A	6.99737	7.68256	6.11023	6.19076	5.24278	5.17998	5.46327	5.93205	5.80296	5.30492	5.34169	5.38076	4.79351
SNORD63	9.06621	8.16397	8.04613	3.3041	3.82324	5.43874	5.2137	6.07362	6.04747	4.19696	3.10168	3.49626	4.08822
SNORD68	10.597	11.0264	11.0668	8.73236	9.01877	9.55217	10.497	9.24872	10.7032	10.0333	7.29531	9.83434	9.70246
SNORD7	3.91268	3.90806	3.43292	3.74282	4.55201	3.16294	3.43138	3.83433	3.84251	3.31057	3.30639	3.5093	3.38152
SNORD73B	2.47355	1.97771	2.32025	2.46482	2.37414	2.13352	1.99294	2.40509	2.19341	2.02032	1.96965	2.03919	2.32134
SNORD74	7.534725	7.325005	6.755525	6.13106	7.968735	7.634225	6.876245	6.850875	7.94624	6.986955	6.80942	6.26318	7.332515
SNORD75	6.76902	5.16562	5.31015	4.41715	7.07732	6.83019	6.14775	6.54819	6.68267	5.58576	5.33022	5.37127	6.21756
SNORD76	10.9122	10.2306	10.5294	5.91885	8.10249	7.19636	9.42856	8.57526	9.6479	8.03662	6.69108	7.3075	7.39939
SNORD77B|SNORD77	2.395035	2.046365	2.67113	2.01707	2.40685	2.06543	2.27219	2.651205	2.07187	1.994125	1.957965	2.171545	2.27058
SNORD77|SNORD77B	1.91683	2.06833	2.42416	2.20302	1.94325	1.87158	1.8446	2.6191	2.04504	1.89539	1.87677	1.88836	2.07312
SNORD78	6.29909	6.11384	7.37341	5.48735	6.3554	5.25093	7.11895	6.0873	6.75901	6.43082	4.95761	5.70238	5.41507
SNORD79	10.4613	7.86047	8.20062	5.14066	5.77752	4.9967	6.75363	6.0538	6.70159	5.81334	4.89431	5.30933	5.03796
SNORD8	10.8476	10.1453	10.0566	5.53462	5.44414	6.91787	6.79079	6.57362	8.13275	5.56581	5.25766	5.44608	5.57325
SNORD80	6.77129	7.67826	7.26878	4.67897	5.88515	5.24575	8.89925	8.19606	8.50619	8.22382	4.12804	7.3526	5.39594
SNORD81	7.836105	7.34987	7.552995	3.737325	5.22	4.48341	5.542915	5.452265	5.47253	5.366115	4.339615	4.78923	4.94238
SNORD82	9.99808	10.4265	9.64304	4.78614	7.20084	7.28314	9.02322	7.77529	8.99056	7.18848	5.06852	6.44112	7.34329
SNORD83A	5.7148	4.99022	4.89501	5.1489	5.17198	6.33492	5.62876	6.06635	6.9622	4.77701	5.1853	4.87028	5.34306
SNORD83B	6.79323	7.10509	6.65003	6.65673	6.41318	7.47564	6.99721	7.01852	7.80354	6.64438	6.26136	6.66627	6.59543
SNORD94	8.85929	8.99824	8.37482	7.88126	8.82924	9.43582	10.2004	8.51182	10.8337	8.924	8.1351	9.20733	9.52191
SNORD95	11.6879	11.7966	12.1671	8.15209	8.7593	9.2141	9.18437	8.92446	10.7561	9.26941	8.37441	9.34994	8.89353
SNORD96A|SNORD96B	3.12646	3.88757	3.62198	4.16994	3.91674	4.08857	3.74463	3.56122	4.21961	3.74763	3.90428	3.9333	3.76408
SNORD96B|SNORD96A	5.65061	5.929	6.19968	6.33264	6.15939	5.81256	5.9307	6.2922	6.62169	5.60075	5.18545	5.60562	5.63009
SNRK	8.37934	7.91193	8.39883	8.27041	8.58896	8.43029	8.44687	8.94109	8.70111	8.15805	8.61778	8.14592	8.4605
